"","Ind1","genetic_fam","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","SeqID_mom","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","SeqID_dad","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad"
"60","CO_83046","NA_2850-57556","2811-83046","Schaaps","kid","Schaaps-80",80,"2","Schaap's_80_2","CO_57556",0.273,0.62,0.107,0.417,65885,"2850-57556","Schaaps","mom","Schaaps-80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CO_83205","2850-57836_2640-97347","2811-83205","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1","CO_97347",0.3,0.593,0.107,0.404,62695,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57836",0.291,0.63,0.079,0.394,63023,"2850-57836","Make Believe","dad","MakeBelieve-26"
"62","CO_83206","2850-57518_2640-97347","2811-83206","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1","CO_97347",0.272,0.645,0.084,0.406,66745,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57518",0.276,0.624,0.1,0.412,62380,"2850-57518","Make Believe","dad","MakeBelieve-69"
"63","CO_83207","2850-57518_2640-97347","2811-83207","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1","CO_97347",0.361,0.48,0.159,0.399,51190,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57518",0.292,0.598,0.11,0.409,47980,"2850-57518","Make Believe","dad","MakeBelieve-69"
"64","CO_83208","2850-57518_2640-97347","2811-83208","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1","CO_97347",0.273,0.632,0.096,0.411,61855,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57518",0.25,0.687,0.063,0.406,57825,"2850-57518","Make Believe","dad","MakeBelieve-69"
"65","CO_83209","2850-57836_2640-97347","2811-83209","Make Believe","kid","MakeBelieve-26",34,"1","Make Believe_34_1","CO_97347",0.258,0.69,0.053,0.398,65811,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57836",0.292,0.611,0.097,0.402,66125,"2850-57836","Make Believe","dad","MakeBelieve-26"
"66","CO_83210","2640-97548_2850-57551","2811-83210","Struthers","kid","Struthers-20",20,"1","Struther's_20_1","CO_57551",0.334,0.563,0.103,0.384,58264,"2850-57551","Struthers","mom","Struthers-20","CO_97548",0.237,0.757,0.005,0.384,62630,"2640-97548","Blue Cloud","dad","BlueCloud-18"
"67","CO_83211","2640-97548_2850-57551","2811-83211","Struthers","kid","Struthers-20",20,"1","Struther's_20_1","CO_57551",0.319,0.583,0.099,0.39,59841,"2850-57551","Struthers","mom","Struthers-20","CO_97548",0.293,0.615,0.092,0.4,64284,"2640-97548","Blue Cloud","dad","BlueCloud-18"
"68","CO_83212","2850-57552_2850-57551","2811-83212","Struthers","kid","Struthers-20",20,"1","Struther's_20_1","CO_57551",0.345,0.546,0.109,0.382,62842,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.33,0.576,0.095,0.383,67210,"2850-57552","Struthers","dad","Struthers-20"
"69","CO_83213","2850-57552_2850-57551","2811-83213","Struthers","kid","Struthers-20",20,"1","Struther's_20_1","CO_57551",0.361,0.535,0.104,0.371,55987,"2850-57551","Struthers","mom","Struthers-20","CO_57552",0.368,0.497,0.135,0.384,59807,"2850-57552","Struthers","dad","Struthers-20"
"70","CO_83214","NA_2850-57853","2811-83214","Cooks","kid","Cooks-27",29,"2","Cook's_29_2","CO_57853",0.329,0.526,0.145,0.408,51801,"2850-57853","Cooks","mom","Cooks-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","CO_83215","2850-57912_2850-57853","2811-83215","Cooks","kid","Cooks-27",29,"2","Cook's_29_2","CO_57853",0.297,0.574,0.129,0.416,49366,"2850-57853","Cooks","mom","Cooks-27","CO_57912",0.289,0.585,0.126,0.418,54677,"2850-57912","Cooks","dad","Cooks-27"
"72","CO_83216","NA_2850-57853","2811-83216","Cooks","kid","Cooks-27",29,"2","Cook's_29_2","CO_57853",0.309,0.56,0.131,0.411,52242,"2850-57853","Cooks","mom","Cooks-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","CO_83217","NA_2850-57853","2811-83217","Cooks","kid","Cooks-27",29,"2","Cook's_29_2","CO_57853",0.318,0.52,0.162,0.422,50842,"2850-57853","Cooks","mom","Cooks-27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CO_83401","2640-97548_2640-97385","2811-83401","Make Believe","kid","MakeBelieve-69",14,"1","Make Believe_14_1","CO_97385",0.264,0.654,0.082,0.409,59979,"2640-97385","Make Believe","mom","MakeBelieve-69","CO_97548",0.278,0.623,0.099,0.411,63919,"2640-97548","Blue Cloud","dad","BlueCloud-18"
"75","CO_83402","2640-97548_2640-97385","2811-83402","Make Believe","kid","MakeBelieve-69",14,"1","Make Believe_14_1","CO_97385",0.285,0.604,0.11,0.413,56866,"2640-97385","Make Believe","mom","MakeBelieve-69","CO_97548",0.318,0.559,0.124,0.403,60582,"2640-97548","Blue Cloud","dad","BlueCloud-18"
"76","CO_83403","2640-97548_2640-97385","2811-83403","Make Believe","kid","MakeBelieve-69",14,"1","Make Believe_14_1","CO_97385",0.286,0.614,0.1,0.407,60718,"2640-97385","Make Believe","mom","MakeBelieve-69","CO_97548",0.335,0.54,0.125,0.395,64945,"2640-97548","Blue Cloud","dad","BlueCloud-18"
"77","CO_83404","2850-57901_2850-57612","2811-83404","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1","CO_57612",0.326,0.564,0.11,0.392,63794,"2850-57612","Blue Cloud","mom","BlueCloud-09","CO_57901",0.356,0.462,0.182,0.413,53879,"2850-57901","Blue Cloud","dad","BlueCloud-09"
"78","CO_83405","NA_2850-57612","2811-83405","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1","CO_57612",0.332,0.532,0.137,0.402,57020,"2850-57612","Blue Cloud","mom","BlueCloud-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","CO_83406","2850-57901_2850-57612","2811-83406","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1","CO_57612",0.311,0.581,0.107,0.398,65149,"2850-57612","Blue Cloud","mom","BlueCloud-09","CO_57901",0.279,0.594,0.127,0.424,55050,"2850-57901","Blue Cloud","dad","BlueCloud-09"
"80","CO_83407","NA_2850-57612","2811-83407","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1","CO_57612",0.309,0.594,0.097,0.394,62715,"2850-57612","Blue Cloud","mom","BlueCloud-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","CO_83408","NA_2850-57612","2811-83408","Blue Cloud","kid","BlueCloud-09",21,"1","Blue Cloud_21_1","CO_57612",0.323,0.568,0.109,0.393,64657,"2850-57612","Blue Cloud","mom","BlueCloud-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
